Lineup,QB,RB,WR,TE,DST,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
2,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
3,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
4,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
5,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
6,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
7,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
8,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
9,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
10,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
11,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
12,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
13,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
14,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
15,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
16,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
17,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
18,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
19,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
20,M.Stafford (00-0026498),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),ATL Defense (DST_ATL),59933,152.86,199.8,0.293
