Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,
121309-89675,RB,Jonathan,Jonathan Taylor,Taylor,23.860000610351600,5,10200,ARI@IND,IND,ARI,,,,,,RB/FLEX,
121309-103020,WR,Puka,Puka Nacua,Nacua,23.4,5,9800,LAR@BAL,LAR,BAL,,,,,,WR/FLEX,
121309-55050,RB,Christian,Christian McCaffrey,McCaffrey,20.88000030517580,5,9500,SF@TB,SF,TB,,,,,,RB/FLEX,
121309-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,18.1,5,9000,SEA@JAC,SEA,JAC,,,,,,WR/FLEX,
121309-63115,QB,Lamar,Lamar Jackson,Jackson,23.59000015258790,4,9000,LAR@BAL,BAL,LAR,Q,Hamstring,,,,QB,
121309-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,15.260000610351600,5,8800,CIN@GB,CIN,GB,,,,,,WR/FLEX,
121309-72731,RB,Josh,Josh Jacobs,Jacobs,16.875,4,8700,CIN@GB,GB,CIN,,,,,,RB/FLEX,
121309-69189,QB,Justin,Justin Herbert,Herbert,19.69199981689450,5,8500,LAC@MIA,LAC,MIA,,,,,,QB,
121309-86631,WR,CeeDee,CeeDee Lamb,Lamb,18.100000381469700,2,8500,DAL@CAR,DAL,CAR,Q,Ankle,,,,WR/FLEX,
121309-104433,RB,Kyren,Kyren Williams,Williams,15.319999694824200,5,8400,LAR@BAL,LAR,BAL,,,,,,RB/FLEX,
121309-69017,QB,Jordan,Jordan Love,Love,19.549999237060500,4,8300,CIN@GB,GB,CIN,,,,,,QB,
121309-41535,QB,Baker,Baker Mayfield,Mayfield,21.944000244140600,5,8200,SF@TB,TB,SF,,,,,,QB,
121309-152655,WR,Emeka,Emeka Egbuka,Egbuka,19.18000030517580,5,8100,SF@TB,TB,SF,,,,,,WR/FLEX,
121309-138820,RB,De'Von,De'Von Achane,Achane,16,5,8100,LAC@MIA,MIA,LAC,,,,,,RB/FLEX,
121309-167031,RB,Ashton,Ashton Jeanty,Jeanty,14.419999694824200,5,8000,TEN@LV,LV,TEN,,,,,,RB/FLEX,
121309-31716,QB,Dak,Dak Prescott,Prescott,22.047999572753900,5,8000,DAL@CAR,DAL,CAR,,,,,,QB,
121309-174215,RB,Omarion,Omarion Hampton,Hampton,14,5,7900,LAC@MIA,LAC,MIA,IR,Ankle,,,,RB/FLEX,
121309-93541,RB,Javonte,Javonte Williams,Williams,19.6,5,7800,DAL@CAR,DAL,CAR,,,,,,RB/FLEX,
121309-152316,QB,Drake,Drake Maye,Maye,19.62799987792970,5,7800,NE@NO,NE,NO,,,,,,QB,
121309-45889,WR,Davante,Davante Adams,Adams,13.539999389648400,5,7800,LAR@BAL,LAR,BAL,,,,,,WR/FLEX,
121309-39280,RB,Derrick,Derrick Henry,Henry,12.05999984741210,5,7700,LAR@BAL,BAL,LAR,,,,,,RB/FLEX,
121309-6654,QB,Matthew,Matthew Stafford,Stafford,21.144000244140600,5,7700,LAR@BAL,LAR,BAL,,,,,,QB,
121309-63519,QB,Daniel,Daniel Jones,Jones,20.039999389648400,5,7600,ARI@IND,IND,ARI,,,,,,QB,
121309-152664,RB,Bucky,Bucky Irving,Irving,16.375,4,7500,SF@TB,TB,SF,Q,Shoulder,,,,RB/FLEX,
121309-90584,QB,Mac,Mac Jones,Jones,20.400000254313200,3,7500,SF@TB,SF,TB,Q,Knee,,,,QB,
121309-85607,QB,Brock,Brock Purdy,Purdy,20.719999313354500,2,7500,SF@TB,SF,TB,Q,Toe,,,,QB,
121309-110246,WR,George,George Pickens,Pickens,16.039999389648400,5,7500,DAL@CAR,DAL,CAR,,,,,,WR/FLEX,
121309-63589,QB,Sam,Sam Darnold,Darnold,17.527999877929700,5,7400,SEA@JAC,SEA,JAC,,,,,,QB,
121309-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,8,5,7400,SEA@JAC,JAC,SEA,,,,,,WR/FLEX,
121309-120639,WR,Quentin,Quentin Johnston,Johnston,14.680000305175800,5,7300,LAC@MIA,LAC,MIA,Q,Hamstring,,,,WR/FLEX,
121309-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,15.38000030517580,5,7300,SEA@JAC,JAC,SEA,,,,,,RB/FLEX,
121309-63484,QB,Kyler,Kyler Murray,Murray,16.155999755859400,5,7300,ARI@IND,ARI,IND,Q,Foot,,,,QB,
